fact_key,time_key,donor_key,disaster_key,organization_key,donation_amount_bdt,in_kind_value_bdt
732,20240908,7,8,4,363449.12,0
733,20240831,4,8,2,229657.73,0
734,20240827,11,8,4,184463.28,0
735,20240826,11,8,3,186403.07,0
736,20240828,6,8,1,0,372626.57
737,20240905,6,8,7,0,712647.39
738,20240909,10,8,2,0,140152.14
739,20240921,6,8,6,0,749155.61
740,20240908,7,8,7,442300.33,0
741,20240913,12,8,6,0,121271.75
742,20240825,2,8,5,331361.66,0
743,20240907,12,8,6,450163.05,0
744,20240914,9,8,4,159548.62,0
