fact_key,time_key,location_key,organization_key,disaster_key,shelter_key,personnel_deployed,vehicles_deployed,shelter_capacity,shelter_occupancy
667,20220515,52,3,6,25,47,8,750,595
668,20220518,52,1,6,27,129,3,150,185
669,20220518,52,2,6,25,122,7,750,925
670,20220518,52,3,6,,148,3,,
671,20220521,52,6,6,26,23,4,300,222
672,20220524,52,2,6,,133,1,,
673,20220524,52,7,6,,2,14,,
674,20220527,52,2,6,,150,9,,
675,20220527,52,4,6,,126,11,,
676,20220527,52,1,6,,57,10,,
677,20220530,52,6,6,,145,30,,
678,20220530,52,1,6,27,54,6,150,149
679,20220530,52,4,6,26,35,22,300,204
680,20220602,52,2,6,25,29,3,750,661
681,20220605,52,1,6,25,14,6,750,372
682,20220608,52,3,6,,78,10,,
683,20220611,52,6,6,,76,3,,
684,20220611,52,1,6,27,29,5,150,55
685,20220611,52,2,6,25,102,7,750,478
686,20220614,52,4,6,26,4,6,300,158
687,20220617,52,5,6,25,102,10,750,368
688,20220617,52,6,6,,29,6,,
689,20220620,52,4,6,25,28,14,750,291
690,20220620,52,1,6,25,60,1,750,242
691,20220623,52,4,6,,43,4,,
692,20220626,52,4,6,25,25,3,750,248
693,20220629,52,6,6,,64,5,,
694,20220702,52,5,6,25,58,1,750,271
695,20220702,52,3,6,27,21,3,150,51
696,20220702,52,1,6,25,44,9,750,151
697,20220705,52,5,6,25,14,1,750,124
698,20220705,52,7,6,27,11,0,150,25
699,20220705,52,2,6,,39,2,,
700,20220708,52,7,6,27,19,5,150,39
701,20220708,52,6,6,,11,3,,
702,20220708,52,2,6,,7,0,,
703,20220711,52,4,6,27,19,1,150,25
704,20220711,52,1,6,27,19,2,150,25
705,20220711,52,3,6,,10,7,,
706,20220714,52,5,6,25,3,2,750,71
707,20220717,52,1,6,,15,1,,
708,20220720,52,3,6,26,25,5,300,31
709,20220723,52,5,6,25,15,1,750,98
710,20220726,52,4,6,26,26,2,300,30
711,20220726,52,3,6,25,14,1,750,111
712,20230514,10,4,7,,20,0,,
713,20230517,10,2,7,16,18,1,750,848
714,20230517,10,1,7,15,24,1,200,107
715,20230517,10,5,7,,21,6,,
716,20230520,10,4,7,16,40,3,750,709
717,20230523,10,5,7,15,2,2,200,82
718,20230523,10,2,7,,6,2,,
719,20230526,10,2,7,16,12,1,750,165
720,20230526,10,4,7,15,12,4,200,47
721,20230526,10,1,7,,4,3,,
722,20230529,10,6,7,,5,1,,
723,20230601,10,7,7,15,4,1,200,46
724,20230604,10,5,7,16,4,0,750,128
725,20230607,10,1,7,15,0,0,200,38
726,20230514,8,7,7,,46,3,,
727,20230514,8,2,7,14,34,2,150,67
728,20230514,8,3,7,14,57,3,150,181
729,20230517,8,6,7,13,10,3,150,154
730,20230520,8,2,7,13,28,1,150,125
731,20230523,8,3,7,,3,1,,
732,20230523,8,5,7,14,6,2,150,80
733,20230523,8,4,7,,16,1,,
734,20230526,8,2,7,13,9,0,150,79
735,20230526,8,4,7,13,14,0,150,77
736,20230526,8,6,7,,21,1,,
737,20230529,8,1,7,,6,1,,
738,20230529,8,6,7,,13,0,,
739,20230529,8,4,7,13,11,0,150,77
740,20230601,8,4,7,,8,1,,
741,20230601,8,2,7,14,3,1,150,45
742,20230601,8,5,7,,10,1,,
743,20230604,8,3,7,13,7,0,150,15
744,20230604,8,1,7,13,5,0,150,23
745,20230604,8,4,7,13,0,0,150,37
746,20230607,8,7,7,14,4,0,150,23
747,20230607,8,1,7,13,6,0,150,18
748,20230607,8,3,7,,2,0,,
749,20240821,14,6,8,21,87,9,1000,672
750,20240821,14,3,8,23,232,8,500,214
751,20240821,14,5,8,24,151,12,200,128
752,20240824,14,1,8,,41,26,,
753,20240827,14,2,8,22,76,14,750,724
754,20240830,14,6,8,24,51,12,200,88
755,20240830,14,3,8,,181,2,,
756,20240902,14,7,8,21,59,5,1000,505
757,20240902,14,1,8,23,255,23,500,345
758,20240902,14,4,8,23,99,4,500,413
759,20240905,14,3,8,,36,15,,
760,20240908,14,1,8,,98,14,,
761,20240911,14,4,8,22,59,3,750,556
762,20240914,14,4,8,,43,3,,
763,20240914,14,2,8,21,30,5,1000,434
764,20240914,14,3,8,24,78,13,200,134
765,20240917,14,3,8,,13,3,,
766,20240917,14,7,8,,128,4,,
767,20240917,14,1,8,,32,2,,
768,20240920,14,2,8,24,7,5,200,75
769,20240920,14,3,8,,10,2,,
770,20240920,14,7,8,24,40,7,200,53
771,20240923,14,3,8,22,22,0,750,279
772,20240923,14,2,8,24,6,4,200,66
773,20240923,14,1,8,24,11,12,200,77
774,20240926,14,4,8,,12,1,,
775,20240926,14,6,8,,43,1,,
776,20240929,14,3,8,24,11,2,200,26
777,20240929,14,2,8,24,14,0,200,38
778,20240929,14,6,8,22,25,2,750,148
779,20241002,14,1,8,,24,4,,
780,20241002,14,5,8,22,7,1,750,142
781,20241005,14,1,8,21,24,0,1000,253
782,20241005,14,2,8,24,21,1,200,21
783,20241005,14,3,8,,32,1,,
784,20241008,14,1,8,,3,2,,
785,20240821,12,2,8,20,43,41,1000,631
786,20240821,12,1,8,20,135,16,1000,929
787,20240821,12,7,8,,44,5,,
788,20240824,12,2,8,17,177,3,150,59
789,20240824,12,6,8,20,135,22,1000,745
790,20240824,12,3,8,19,116,4,200,111
791,20240827,12,2,8,20,41,10,1000,424
792,20240830,12,4,8,,58,8,,
793,20240830,12,5,8,20,39,20,1000,709
794,20240902,12,6,8,17,14,7,150,125
795,20240902,12,5,8,18,92,20,750,526
796,20240905,12,6,8,,66,5,,
797,20240908,12,2,8,20,53,12,1000,283
798,20240908,12,3,8,,12,5,,
799,20240908,12,6,8,19,19,1,200,106
800,20240911,12,7,8,,58,4,,
801,20240914,12,3,8,,106,8,,
802,20240914,12,5,8,,102,10,,
803,20240917,12,6,8,17,72,6,150,70
804,20240920,12,2,8,,41,1,,
805,20240923,12,4,8,,53,2,,
806,20240926,12,5,8,19,1,2,200,25
807,20240929,12,2,8,,20,1,,
808,20241002,12,1,8,19,4,4,200,22
809,20241002,12,3,8,17,7,1,150,35
810,20241002,12,6,8,,30,1,,
811,20241005,12,4,8,20,19,4,1000,129
812,20241005,12,7,8,19,14,0,200,27
813,20241005,12,6,8,18,30,1,750,69
814,20241008,12,4,8,18,8,3,750,173
815,20241008,12,3,8,20,22,1,1000,122
816,20240821,16,4,8,44,83,9,150,110
817,20240824,16,4,8,42,41,17,150,117
818,20240824,16,2,8,,76,23,,
819,20240824,16,5,8,,82,28,,
820,20240827,16,4,8,45,102,10,750,721
821,20240830,16,5,8,,152,23,,
822,20240902,16,3,8,,16,7,,
823,20240905,16,4,8,45,93,15,750,313
824,20240908,16,3,8,,79,23,,
825,20240908,16,7,8,44,67,10,150,94
826,20240908,16,6,8,42,24,3,150,119
827,20240911,16,3,8,,34,1,,
828,20240911,16,6,8,42,38,6,150,36
829,20240914,16,5,8,42,35,4,150,48
830,20240914,16,1,8,,59,5,,
831,20240917,16,1,8,,25,2,,
832,20240920,16,6,8,43,79,12,500,115
833,20240920,16,4,8,,29,3,,
834,20240920,16,2,8,,31,9,,
835,20240923,16,1,8,42,19,8,150,50
836,20240923,16,6,8,44,34,2,150,58
837,20240923,16,7,8,44,42,8,150,52
838,20240926,16,5,8,,26,3,,
839,20240926,16,4,8,,5,1,,
840,20240926,16,3,8,42,27,1,150,32
841,20240929,16,3,8,,8,4,,
842,20241002,16,7,8,,12,1,,
843,20241002,16,4,8,43,6,4,500,124
844,20241002,16,6,8,45,41,2,750,186
845,20241005,16,3,8,42,13,5,150,14
846,20241005,16,6,8,44,3,5,150,38
847,20241008,16,1,8,,28,1,,
848,20241008,16,3,8,43,8,1,500,100
849,20241008,16,5,8,,15,1,,
850,20240821,8,6,8,14,89,20,150,88
851,20240821,8,4,8,14,169,15,150,67
852,20240821,8,5,8,,30,6,,
853,20240824,8,6,8,14,26,15,150,134
854,20240824,8,7,8,14,118,4,150,100
855,20240824,8,3,8,13,68,13,150,155
856,20240827,8,1,8,,47,46,,
857,20240827,8,2,8,13,32,15,150,168
858,20240830,8,5,8,,211,5,,
859,20240830,8,3,8,,24,10,,
860,20240830,8,2,8,,59,14,,
861,20240902,8,7,8,,106,1,,
862,20240905,8,4,8,,188,9,,
863,20240908,8,7,8,13,70,6,150,88
864,20240908,8,5,8,14,54,6,150,70
865,20240911,8,1,8,14,15,10,150,55
866,20240911,8,3,8,14,29,3,150,64
867,20240911,8,5,8,,49,11,,
868,20240914,8,6,8,13,41,5,150,100
869,20240917,8,2,8,14,83,2,150,86
870,20240917,8,5,8,13,10,7,150,58
871,20240917,8,7,8,14,20,2,150,60
872,20240920,8,1,8,,43,2,,
873,20240920,8,4,8,13,42,2,150,73
874,20240920,8,5,8,13,28,21,150,37
875,20240923,8,1,8,13,22,4,150,63
876,20240923,8,2,8,,26,1,,
877,20240923,8,6,8,13,12,2,150,45
878,20240926,8,3,8,13,24,2,150,36
879,20240929,8,7,8,,26,3,,
880,20241002,8,7,8,,13,0,,
881,20241002,8,5,8,,18,1,,
882,20241005,8,1,8,,22,4,,
883,20241005,8,4,8,13,36,2,150,15
884,20241005,8,2,8,13,6,0,150,29
885,20241008,8,4,8,13,21,4,150,35
886,20241008,8,3,8,,32,6,,
